codigo_municipio,capital,nome_municipio,codigo_regiao_imediata
1101104,0,Itapuã do Oeste,110001
1100809,0,Candeias do Jamari,110001
1100338,0,Nova Mamoré,110001
1100205,1,Porto Velho,110001
1100106,0,Guajará-Mirim,110001
1101401,0,Monte Negro,110002
1100940,0,Cujubim,110002
1100700,0,Campo Novo de Rondônia,110002
1100601,0,Cacaulândia,110002
1100452,0,Buritis,110002
1100403,0,Alto Paraíso,110002
1100262,0,Rio Crespo,110002
1100023,0,Ariquemes,110002
1101757,0,Vale do Anari,110003
1101609,0,Theobroma,110003
1101005,0,Governador Jorge Teixeira,110003
1100130,0,Machadinho D'Oeste,110003
1100114,0,Jaru,110003
1101807,0,Vale do Paraíso,110004
1101708,0,Urupá,110004
1101559,0,Teixeirópolis,110004
1101500,0,Seringueiras,110004
1101492,0,São Francisco do Guaporé,110004
1101435,0,Nova União,110004
1101302,0,Mirante da Serra,110004
1100346,0,Alvorada D'Oeste,110004
1100320,0,São Miguel do Guaporé,110004
1100254,0,Presidente Médici,110004
1100155,0,Ouro Preto do Oeste,110004
1100122,0,Ji-Paraná,110004
1100080,0,Costa Marques,110004
1101484,0,São Felipe D'Oeste,110005
1101476,0,Primavera de Rondônia,110005
1101450,0,Parecis,110005
1101203,0,Ministro Andreazza,110005
1100908,0,Castanheiras,110005
1100502,0,Novo Horizonte do Oeste,110005
1100379,0,Alto Alegre dos Parecis,110005
1100296,0,Santa Luzia D'Oeste,110005
1100288,0,Rolim de Moura,110005
1100189,0,Pimenta Bueno,110005
1100148,0,Nova Brasilândia D'Oeste,110005
1100098,0,Espigão D'Oeste,110005
1100049,0,Cacoal,110005
1100015,0,Alta Floresta D'Oeste,110005
1101468,0,Pimenteiras do Oeste,110006
1100924,0,Chupinguaia,110006
1100304,0,Vilhena,110006
1100072,0,Corumbiara,110006
1100064,0,Colorado do Oeste,110006
1100056,0,Cerejeiras,110006
1100031,0,Cabixi,110006
1200807,0,Porto Acre,120001
1200450,0,Senador Guiomard,120001
1200401,1,Rio Branco,120001
1200385,0,Plácido de Castro,120001
1200179,0,Capixaba,120001
1200138,0,Bujari,120001
1200013,0,Acrelândia,120001
1200708,0,Xapuri,120002
1200252,0,Epitaciolândia,120002
1200104,0,Brasiléia,120002
1200054,0,Assis Brasil,120002
1200500,0,Sena Madureira,120003
1200435,0,Santa Rosa do Purus,120003
1200344,0,Manoel Urbano,120003
1200427,0,Rodrigues Alves,120004
1200393,0,Porto Walter,120004
1200351,0,Marechal Thaumaturgo,120004
1200336,0,Mâncio Lima,120004
1200203,0,Cruzeiro do Sul,120004
1200609,0,Tarauacá,120005
1200328,0,Jordão,120005
1200302,0,Feijó,120005
1303569,0,Rio Preto da Eva,130001
1303536,0,Presidente Figueiredo,130001
1303106,0,Nova Olinda do Norte,130001
1302603,1,Manaus,130001
1302553,0,Manaquiri,130001
1301852,0,Iranduba,130001
1301159,0,Careiro da Várzea,130001
1301100,0,Careiro,130001
1300805,0,Borba,130001
1300300,0,Autazes,130001
1303809,0,São Gabriel da Cachoeira,130002
1303601,0,Santa Isabel do Rio Negro,130002
1300409,0,Barcelos,130002
1301308,0,Codajás,130003
1301209,0,Coari,130003
1300631,0,Beruri,130003
1300102,0,Anori,130003
1303205,0,Novo Airão,130004
1302504,0,Manacapuru,130004
1300839,0,Caapiranga,130004
1300086,0,Anamã,130004
1304260,0,Uarini,130005
1304203,0,Tefé,130005
1302801,0,Maraã,130005
1302306,0,Jutaí,130005
1302207,0,Juruá,130005
1302108,0,Japurá,130005
1301605,0,Fonte Boa,130005
1301001,0,Carauari,130005
1300029,0,Alvarães,130005
1304237,0,Tonantins,130006
1304062,0,Tabatinga,130006
1303908,0,São Paulo de Olivença,130006
1303700,0,Santo Antônio do Içá,130006
1300607,0,Benjamin Constant,130006
1300201,0,Atalaia do Norte,130006
1300060,0,Amaturá,130006
1301951,0,Itamarati,130007
1301803,0,Ipixuna,130007
1301654,0,Guajará,130007
1301506,0,Envira,130007
1301407,0,Eirunepé,130007
1304104,0,Tapauá,130008
1303502,0,Pauini,130008
1302405,0,Lábrea,130008
1300904,0,Canutama,130008
1300706,0,Boca do Acre,130008
1303304,0,Novo Aripuanã,130009
1302702,0,Manicoré,130009
1301704,0,Humaitá,130009
1300144,0,Apuí,130009
1303403,0,Parintins,130010
1303007,0,Nhamundá,130010
1302900,0,Maués,130010
1300680,0,Boa Vista do Ramos,130010
1300508,0,Barreirinha,130010
1304401,0,Urucurituba,130011
1304302,0,Urucará,130011
1304005,0,Silves,130011
1303957,0,São Sebastião do Uatumã,130011
1302009,0,Itapiranga,130011
1301902,0,Itacoatiara,130011
1400308,0,Mucajaí,140001
1400175,0,Cantá,140001
1400159,0,Bonfim,140001
1400100,1,Boa Vista,140001
1400050,0,Alto Alegre,140001
1400704,0,Uiramutã,140002
1400456,0,Pacaraima,140002
1400407,0,Normandia,140002
1400027,0,Amajari,140002
1400605,0,São Luiz,140003
1400506,0,São João da Baliza,140003
1400472,0,Rorainópolis,140003
1400233,0,Caroebe,140003
1400282,0,Iracema,140004
1400209,0,Caracaraí,140004
1508209,0,Vigia,150001
1508001,0,Tomé-Açu,150001
1507102,0,São Caetano de Odivelas,150001
1507003,0,Santo Antônio do Tauá,150001
1506500,0,Santa Izabel do Pará,150001
1506351,0,Santa Bárbara do Pará,150001
1504422,0,Marituba,150001
1502756,0,Concórdia do Pará,150001
1502608,0,Colares,150001
1501907,0,Bujaru,150001
1501501,0,Benevides,150001
1501402,1,Belém,150001
1501303,0,Barcarena,150001
1500800,0,Ananindeua,150001
1500206,0,Acará,150001
1505205,0,Oeiras do Pará,150002
1504604,0,Mocajuba,150002
1504000,0,Limoeiro do Ajuru,150002
1502103,0,Cametá,150002
1507953,0,Tailândia,150003
1504703,0,Moju,150003
1503309,0,Igarapé-Miri,150003
1500107,0,Abaetetuba,150003
1507961,0,Terra Alta,150004
1507607,0,São Miguel do Guamá,150004
1507466,0,São João da Ponta,150004
1507409,0,São Francisco do Pará,150004
1507201,0,São Domingos do Capim,150004
1506609,0,Santa Maria do Pará,150004
1504406,0,Marapanim,150004
1504307,0,Maracanã,150004
1504109,0,Magalhães Barata,150004
1503507,0,Irituia,150004
1503408,0,Inhangapi,150004
1503200,0,Igarapé-Açu,150004
1502905,0,Curuçá,150004
1502400,0,Castanhal,150004
1508308,0,Viseu,150005
1508035,0,Tracuateua,150005
1506559,0,Santa Luzia do Pará,150005
1501956,0,Cachoeira do Piriá,150005
1501709,0,Bragança,150005
1500909,0,Augusto Corrêa,150005
1507474,0,São João de Pirabas,150006
1506906,0,Santarém Novo,150006
1506203,0,Salinópolis,150006
1506112,0,Quatipuru,150006
1506104,0,Primavera,150006
1505601,0,Peixe-Boi,150006
1505007,0,Nova Timboteua,150006
1502202,0,Capanema,150006
1501600,0,Bonito,150006
1508126,0,Ulianópolis,150007
1505502,0,Paragominas,150007
1504059,0,Mãe do Rio,150007
1503457,0,Ipixuna do Pará,150007
1502939,0,Dom Eliseu,150007
1500958,0,Aurora do Pará,150007
