codigo_uf,sigla_uf,nome_uf,codigo_regiao
11,RO,Rondônia,1
12,AC,Acre,1
13,AM,Amazonas,1
14,RR,Roraima,1
15,PA,Pará,1
16,AP,Amapá,1
17,TO,Tocantins,1
21,MA,Maranhão,2
22,PI,Piauí,2
23,CE,Ceará,2
24,RN,Rio Grande do Norte,2
25,PB,Paraíba,2
26,PE,Pernambuco,2
27,AL,Alagoas,2
28,SE,Sergipe,2
29,BA,Bahia,2
31,MG,Minas Gerais,3
32,ES,Espírito Santo,3
33,RJ,Rio de Janeiro,3
35,SP,São Paulo,3
41,PR,Paraná,4
42,SC,Santa Catarina,4
43,RS,Rio Grande do Sul,4
50,MS,Mato Grosso do Sul,5
51,MT,Mato Grosso,5
52,GO,Goiás,5
53,DF,Distrito Federal,5
