codigo_regiao,sigla_regiao,nome_regiao,codigo_uf,sigla_uf,nome_uf,codigo_regiao_intermediaria,nome_regiao_intermediaria,codigo_regiao_imediata,nome_regiao_imediata,codigo_municipio,capital,nome_municipio
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110001,Porto Velho,1101104,0,Itapuã do Oeste
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110001,Porto Velho,1100809,0,Candeias do Jamari
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110001,Porto Velho,1100338,0,Nova Mamoré
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110001,Porto Velho,1100205,1,Porto Velho
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110001,Porto Velho,1100106,0,Guajará-Mirim
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1101401,0,Monte Negro
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100940,0,Cujubim
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100700,0,Campo Novo de Rondônia
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100601,0,Cacaulândia
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100452,0,Buritis
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100403,0,Alto Paraíso
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100262,0,Rio Crespo
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110002,Ariquemes,1100023,0,Ariquemes
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110003,Jaru,1101757,0,Vale do Anari
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110003,Jaru,1101609,0,Theobroma
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110003,Jaru,1101005,0,Governador Jorge Teixeira
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110003,Jaru,1100130,0,Machadinho D'Oeste
1,N,Norte,11,RO,Rondônia,1101,Porto Velho,110003,Jaru,1100114,0,Jaru
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101807,0,Vale do Paraíso
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101708,0,Urupá
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101559,0,Teixeirópolis
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101500,0,Seringueiras
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101492,0,São Francisco do Guaporé
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101435,0,Nova União
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1101302,0,Mirante da Serra
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100346,0,Alvorada D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100320,0,São Miguel do Guaporé
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100254,0,Presidente Médici
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100155,0,Ouro Preto do Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100122,0,Ji-Paraná
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1100080,0,Costa Marques
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1101484,0,São Felipe D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1101476,0,Primavera de Rondônia
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1101450,0,Parecis
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1101203,0,Ministro Andreazza
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100908,0,Castanheiras
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100502,0,Novo Horizonte do Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100379,0,Alto Alegre dos Parecis
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100296,0,Santa Luzia D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100288,0,Rolim de Moura
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100189,0,Pimenta Bueno
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100148,0,Nova Brasilândia D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100098,0,Espigão D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100049,0,Cacoal
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110005,Cacoal,1100015,0,Alta Floresta D'Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1101468,0,Pimenteiras do Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100924,0,Chupinguaia
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100304,0,Vilhena
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100072,0,Corumbiara
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100064,0,Colorado do Oeste
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100056,0,Cerejeiras
1,N,Norte,11,RO,Rondônia,1102,Ji-Paraná,110006,Vilhena,1100031,0,Cabixi
1,N,Norte,12,AC,Acre,1201,Rio Branco,120001,Rio Branco,1200807,0,Porto Acre
1,N,Norte,12,AC,Acre,1201,Rio Branco,120001,Rio Branco,1200450,0,Senador Guiomard
1,N,Norte,12,AC,Acre,1201,Rio Branco,120001,Rio Branco,1200401,1,Rio Branco
1,N,Norte,12,AC,Acre,1201,Rio Branco,120001,Rio Branco,1200385,0,Plácido de Castro
1,N,Norte,12,AC,Acre,1201,Rio Branco,120001,Rio Branco,1200179,0,Capixaba
